Time,Monday,Tuesday,Wednesday,Thursday,Friday
12:00 AM,13,19,17,18,32
1:00 AM,7,16,9,21,25
2:00 AM,7,19,8,25,26
3:00 AM,16,37,12,19,25
4:00 AM,21,23,17,23,33
5:00 AM,7,10,16,17,21
6:00 AM,19,26,33,27,36
7:00 AM,88,72,80,90,109
8:00 AM,213,256,246,180,227
9:00 AM,310,379,361,342,387
10:00 AM,361,349,306,367,368
11:00 AM,363,362,300,337,349
12:00 PM,453,473,441,519,409
1:00 PM,403,370,419,438,382
2:00 PM,357,317,370,357,294
3:00 PM,306,262,240,280,237
4:00 PM,374,361,311,362,346
5:00 PM,370,346,402,356,376
6:00 PM,380,424,468,408,429
7:00 PM,310,272,290,311,287
8:00 PM,267,151,182,206,160
9:00 PM,224,141,150,199,159
10:00 PM,87,109,90,125,128
11:00 PM,33,33,47,49,56
