,Mondays,Tuesdays,Wednesdays,Thursdays,Fridays,Saturdays,Sundays
11:00 AM,68,115,76,131,83,24,
11:15 AM,149,206,149,159,117,25,
11:30 AM,267,284,360,279,254,74,
11:45 AM,475,486,510,440,352,64,
12:00 PM,965,880,818,829,674,100,
12:15 PM,1043,876,1032,980,881,107,
12:30 PM,768,731,898,942,738,90,
12:45 PM,605,597,724,748,653,101,
1:00 PM,422,512,501,579,460,96,
1:15 PM,391,341,395,395,352,102,
1:30 PM,341,313,354,277,230,51,
1:45 PM,183,212,183,203,171,48,
2:00 PM,93,105,100,82,137,29,
