	Mondays	Tuesdays	Wednesdays	Thursdays	Fridays	Saturdays	Sundays
6:00 AM	10	19	24	26	31	7	8
7:00 AM	55	117	103	88	150	12	21
8:00 AM	106	742	583	685	784	26	22
9:00 AM	674	1001	830	1064	1004	32	20
10:00 AM	783	1013	784	1067	1061	43	47
11:00 AM	810	1185	951	1201	1243	115	52
12:00 PM	1047	1577	1524	1662	1836	188	48
1:00 PM	1642	1403	1247	1296	1453	200	62
2:00 PM	1275	1122	949	1108	1096	100	52
3:00 PM	1110	1031	841	1012	1087	96	75
4:00 PM	1040	817	835	974	960	83	71
5:00 PM	802	655	530	684	750	103	56
6:00 PM	603	481	386	570	496	50	33
7:00 PM	521	294	293	382	267	29	28
8:00 PM	309	104	98	194	115	29	22
9:00 PM	96	79	49	91	39	16	17
10:00 PM	60	47	41	51	34	20	12
11:00 PM	30	32	27	34	16	14	16
12:00 AM	27	20	29	27	24	12	13
1:00 AM	12	17	24	26	26	8	12
2:00 AM	13	21	26	33	27	11	14
3:00 AM	12	15	21	24	23	9	7
4:00 AM	9	18	25	24	29	9	10
5:00 AM	10	17	20	25	27	7	8
