Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,6,4,5,8,4,4,8
7:00 AM,7,4,1,6,2,2,5
8:00 AM,102,90,45,35,55,3,7
9:00 AM,295,236,164,158,157,4,8
10:00 AM,408,306,287,234,239,3,8	
11:00 AM,536,417,325,278,254,3,7
12:00 PM,695,733,361,512,430,6,9
1:00 PM,620,490,455,508,552,5,10
2:00 PM,754,531,559,646,676,7,13
3:00 PM,762,514,667,590,609,3,6
4:00 PM,572,447,415,486,508,4,8	
5:00 PM,427,395,362,481,370,3,8
6:00 PM,387,289,249,294,257,10,12
7:00 PM,246,221,164,204,231,4,9
8:00 PM,156,144,102,124,125,2,7
9:00 PM,11,13,12,21,17,5,7
10:00 PM,6,5,9,7,8,5,9
11:00 PM,5,4,8,4,8,4,9
12:00 AM,6,4,5,9,5,7,9
1:00 AM,9,4,4,7,4,3,8
2:00 AM,12,8,7,9,7,5,11
3:00 AM,5,2,4,5,3,4,6
4:00 AM,8,3,1,6,2,2,6
5:00 AM,9,5,4,8,4,4,8
