,time,count
72,11:00:00,25.0
73,11:05:00,25.0
74,11:10:00,32.0
75,11:15:00,23.0
76,11:20:00,21.0
77,11:25:00,19.0
78,11:30:00,29.0
79,11:35:00,40.0
80,11:40:00,22.0
81,11:45:00,19.0
82,11:50:00,30.0
83,11:55:00,37.0
84,12:00:00,42.0
85,12:05:00,55.0
86,12:10:00,39.0
87,12:15:00,49.0
88,12:20:00,38.0
89,12:25:00,31.0
90,12:30:00,47.0
91,12:35:00,27.0
92,12:40:00,35.0
93,12:45:00,30.0
94,12:50:00,32.0
95,12:55:00,34.0
96,13:00:00,25.0
97,13:05:00,37.0
98,13:10:00,39.0
99,13:15:00,29.0
100,13:20:00,31.0
101,13:25:00,36.0
102,13:30:00,40.0
103,13:35:00,40.0
104,13:40:00,39.0
105,13:45:00,31.0
106,13:50:00,25.0
107,13:55:00,29.0
