,time,count
576,11:00:00,10.0
577,11:05:00,16.0
578,11:10:00,16.0
579,11:15:00,11.0
580,11:20:00,16.0
581,11:25:00,13.0
582,11:30:00,12.0
583,11:35:00,18.0
584,11:40:00,22.0
585,11:45:00,30.0
586,11:50:00,21.0
587,11:55:00,22.0
588,12:00:00,45.0
589,12:05:00,43.0
590,12:10:00,42.0
591,12:15:00,31.0
592,12:20:00,26.0
593,12:25:00,29.0
594,12:30:00,38.0
595,12:35:00,34.0
596,12:40:00,32.0
597,12:45:00,27.0
598,12:50:00,21.0
599,12:55:00,28.0
600,13:00:00,20.0
601,13:05:00,19.0
602,13:10:00,18.0
603,13:15:00,14.0
604,13:20:00,38.0
605,13:25:00,21.0
606,13:30:00,17.0
607,13:35:00,11.0
608,13:40:00,14.0
609,13:45:00,11.0
610,13:50:00,18.0
611,13:55:00,13.0
