,time,count
828,11:00:00,26.0
829,11:05:00,32.0
830,11:10:00,24.0
831,11:15:00,33.0
832,11:20:00,40.0
833,11:25:00,19.0
834,11:30:00,18.0
835,11:35:00,10.0
836,11:40:00,18.0
837,11:45:00,19.0
838,11:50:00,22.0
839,11:55:00,24.0
840,12:00:00,13.0
841,12:05:00,16.0
842,12:10:00,12.0
843,12:15:00,31.0
844,12:20:00,36.0
845,12:25:00,39.0
846,12:30:00,34.0
847,12:35:00,36.0
848,12:40:00,35.0
849,12:45:00,35.0
850,12:50:00,18.0
851,12:55:00,16.0
852,13:00:00,15.0
853,13:05:00,12.0
854,13:10:00,24.0
855,13:15:00,28.0
856,13:20:00,16.0
857,13:25:00,27.0
858,13:30:00,15.0
859,13:35:00,14.0
860,13:40:00,14.0
861,13:45:00,7.0
862,13:50:00,6.0
863,13:55:00,13.0
