,time,count
1080,11:00:00,15.0
1081,11:05:00,9.0
1082,11:10:00,11.0
1083,11:15:00,34.0
1084,11:20:00,30.0
1085,11:25:00,38.0
1086,11:30:00,30.0
1087,11:35:00,25.0
1088,11:40:00,29.0
1089,11:45:00,47.0
1090,11:50:00,35.0
1091,11:55:00,27.0
1092,12:00:00,33.0
1093,12:05:00,23.0
1094,12:10:00,28.0
1095,12:15:00,29.0
1096,12:20:00,25.0
1097,12:25:00,29.0
1098,12:30:00,43.0
1099,12:35:00,25.0
1100,12:40:00,35.0
1101,12:45:00,43.0
1102,12:50:00,40.0
1103,12:55:00,34.0
1104,13:00:00,33.0
1105,13:05:00,33.0
1106,13:10:00,50.0
1107,13:15:00,29.0
1108,13:20:00,28.0
1109,13:25:00,46.0
1110,13:30:00,32.0
1111,13:35:00,25.0
1112,13:40:00,19.0
1113,13:45:00,24.0
1114,13:50:00,14.0
1115,13:55:00,29.0
