,time,count
1332,11:00:00,7.0
1333,11:05:00,11.0
1334,11:10:00,12.0
1335,11:15:00,12.0
1336,11:20:00,14.0
1337,11:25:00,24.0
1338,11:30:00,29.0
1339,11:35:00,32.0
1340,11:40:00,35.0
1341,11:45:00,32.0
1342,11:50:00,28.0
1343,11:55:00,40.0
1344,12:00:00,51.0
1345,12:05:00,39.0
1346,12:10:00,43.0
1347,12:15:00,49.0
1348,12:20:00,33.0
1349,12:25:00,37.0
1350,12:30:00,43.0
1351,12:35:00,43.0
1352,12:40:00,47.0
1353,12:45:00,44.0
1354,12:50:00,51.0
1355,12:55:00,46.0
1356,13:00:00,35.0
1357,13:05:00,60.0
1358,13:10:00,45.0
1359,13:15:00,34.0
1360,13:20:00,29.0
1361,13:25:00,29.0
1362,13:30:00,23.0
1363,13:35:00,21.0
1364,13:40:00,26.0
1365,13:45:00,30.0
1366,13:50:00,26.0
1367,13:55:00,24.0
