,time,count
1728,11:00:00,46.0
1729,11:05:00,59.0
1730,11:10:00,66.0
1731,11:15:00,77.0
1732,11:20:00,81.0
1733,11:25:00,98.0
1734,11:30:00,117.0
1735,11:35:00,151.0
1736,11:40:00,185.0
1737,11:45:00,228.0
1738,11:50:00,364.0
1739,11:55:00,360.0
1740,12:00:00,397.0
1741,12:05:00,479.0
1742,12:10:00,588.0
1743,12:15:00,626.0
1744,12:20:00,577.0
1745,12:25:00,535.0
1746,12:30:00,464.0
1747,12:35:00,396.0
1748,12:40:00,368.0
1749,12:45:00,352.0
1750,12:50:00,345.0
1751,12:55:00,293.0
1752,13:00:00,254.0
1753,13:05:00,261.0
1754,13:10:00,253.0
1755,13:15:00,221.0
1756,13:20:00,153.0
1757,13:25:00,143.0
1758,13:30:00,126.0
1759,13:35:00,135.0
1760,13:40:00,92.0
1761,13:45:00,100.0
1762,13:50:00,92.0
1763,13:55:00,80.0
