,time,count
2232,11:00:00,16.0
2233,11:05:00,23.0
2234,11:10:00,38.0
2235,11:15:00,38.0
2236,11:20:00,50.0
2237,11:25:00,53.0
2238,11:30:00,68.0
2239,11:35:00,93.0
2240,11:40:00,139.0
2241,11:45:00,175.0
2242,11:50:00,196.0
2243,11:55:00,281.0
2244,12:00:00,364.0
2245,12:05:00,444.0
2246,12:10:00,579.0
2247,12:15:00,622.0
2248,12:20:00,564.0
2249,12:25:00,483.0
2250,12:30:00,496.0
2251,12:35:00,391.0
2252,12:40:00,336.0
2253,12:45:00,262.0
2254,12:50:00,268.0
2255,12:55:00,200.0
2256,13:00:00,204.0
2257,13:05:00,241.0
2258,13:10:00,187.0
2259,13:15:00,137.0
2260,13:20:00,125.0
2261,13:25:00,120.0
2262,13:30:00,95.0
2263,13:35:00,72.0
2264,13:40:00,73.0
2265,13:45:00,65.0
2266,13:50:00,67.0
2267,13:55:00,63.0
