,time,count
2340,11:00:00,28.0
2341,11:05:00,30.0
2342,11:10:00,26.0
2343,11:15:00,26.0
2344,11:20:00,28.0
2345,11:25:00,37.0
2346,11:30:00,35.0
2347,11:35:00,26.0
2348,11:40:00,34.0
2349,11:45:00,44.0
2350,11:50:00,51.0
2351,11:55:00,54.0
2352,12:00:00,52.0
2353,12:05:00,63.0
2354,12:10:00,61.0
2355,12:15:00,76.0
2356,12:20:00,65.0
2357,12:25:00,61.0
2358,12:30:00,55.0
2359,12:35:00,48.0
2360,12:40:00,49.0
2361,12:45:00,55.0
2362,12:50:00,43.0
2363,12:55:00,47.0
2364,13:00:00,39.0
2365,13:05:00,40.0
2366,13:10:00,38.0
2367,13:15:00,41.0
2368,13:20:00,46.0
2369,13:25:00,36.0
2370,13:30:00,24.0
2371,13:35:00,20.0
2372,13:40:00,27.0
2373,13:45:00,24.0
2374,13:50:00,25.0
2375,13:55:00,22.0
