,time,count
2556,11:00:00,37.0
2557,11:05:00,56.0
2558,11:10:00,60.0
2559,11:15:00,71.0
2560,11:20:00,74.0
2561,11:25:00,87.0
2562,11:30:00,94.0
2563,11:35:00,123.0
2564,11:40:00,127.0
2565,11:45:00,135.0
2566,11:50:00,169.0
2567,11:55:00,189.0
2568,12:00:00,233.0
2569,12:05:00,307.0
2570,12:10:00,369.0
2571,12:15:00,411.0
2572,12:20:00,422.0
2573,12:25:00,367.0
2574,12:30:00,346.0
2575,12:35:00,315.0
2576,12:40:00,328.0
2577,12:45:00,290.0
2578,12:50:00,231.0
2579,12:55:00,208.0
2580,13:00:00,187.0
2581,13:05:00,181.0
2582,13:10:00,179.0
2583,13:15:00,172.0
2584,13:20:00,113.0
2585,13:25:00,127.0
2586,13:30:00,96.0
2587,13:35:00,121.0
2588,13:40:00,82.0
2589,13:45:00,81.0
2590,13:50:00,83.0
2591,13:55:00,70.0
