,time,count
2592,11:00:00,17.0
2593,11:05:00,28.0
2594,11:10:00,20.0
2595,11:15:00,18.0
2596,11:20:00,24.0
2597,11:25:00,32.0
2598,11:30:00,29.0
2599,11:35:00,29.0
2600,11:40:00,33.0
2601,11:45:00,31.0
2602,11:50:00,35.0
2603,11:55:00,44.0
2604,12:00:00,49.0
2605,12:05:00,55.0
2606,12:10:00,61.0
2607,12:15:00,64.0
2608,12:20:00,53.0
2609,12:25:00,50.0
2610,12:30:00,53.0
2611,12:35:00,47.0
2612,12:40:00,42.0
2613,12:45:00,47.0
2614,12:50:00,50.0
2615,12:55:00,35.0
2616,13:00:00,34.0
2617,13:05:00,42.0
2618,13:10:00,41.0
2619,13:15:00,41.0
2620,13:20:00,36.0
2621,13:25:00,27.0
2622,13:30:00,22.0
2623,13:35:00,16.0
2624,13:40:00,16.0
2625,13:45:00,22.0
2626,13:50:00,24.0
2627,13:55:00,15.0
